time, Susceptible, Socially_distanced, Exposed, Infectious, J, Q, Recovered, R0
0,133990732.85000001,51534897.25,14429771.23,4122791.7800000003,1442977.123,618418.767,0.0,2.5
1,66835193.90295112,118530263.67500001,12335291.99736139,5346745.5896875,1752186.5065000001,1307358.9723421051,67027914.781157896,1.25
2,33337702.160683975,151947860.62647557,10487797.41356526,5937448.566853343,2212779.650671875,2114643.858626731,100514320.09959882,0.625
3,16628999.191179106,168616711.70681757,8888930.95685857,6091804.771009579,2590751.967049273,3109736.638771788,117294468.22513169,0.3125
4,8294621.289956418,176931211.30240712,7519913.800482554,5957749.040266336,2818327.176277031,4241442.272887384,125772638.17013028,0.15625
5,4137395.254688195,181078521.9473853,6354842.659447169,5643298.311525151,2898600.8482051,5427372.057189722,130143182.61894467,0.078125
6,2063751.7850566432,183147219.5747294,5366844.3361960035,5225417.899182484,2860125.0019838377,6591021.32038755,132497531.4071935,0.0390625
7,1029408.8836444649,184179095.46725774,4530741.917549235,4757632.8519174885,2736416.97578754,7674187.962411703,133876303.15868959,0.01953125
8,513473.88644272386,184693799.90907997,3824044.0483116754,4276153.063555185,2557616.700873142,8638491.820704857,134794912.23011243,0.009765625
9,256123.1365375083,184950536.85230133,3227150.97244683,3804621.6802150877,2347846.6163253672,9462642.706893804,135506306.6375814,0.0048828125
10,127755.39867133721,185078598.42057008,2723214.8025994296,3357708.599606133,2125078.7282164553,10138532.188377867,136132402.0325288,0.00244140625
11,63724.98053209689,185142476.11990574,2297865.2084968407,2943783.7626107605,1901966.514009761,10667464.59520305,136729886.6891475,0.001220703125
12,31786.313424320375,185174338.6101718,1938899.9465109373,2566879.2607857017,1686929.1976575707,11057002.347197244,137323194.68442425,0.0006103515625
13,15855.159353092755,185190231.76688397,1635984.8272276707,2228112.56223161,1485184.4140252108,11318519.454068279,137921035.33309415,0.00030517578125
14,7908.62641905569,185198159.3465605,1380381.151230838,1926707.050928031,1299620.3475705078,11465400.110866765,138524674.46298483,0.000152587890625
15,3944.859237506506,185202113.65977004,1164706.050323041,1660714.8430758417,1131486.9365172617,11511768.173553769,139132070.88729262,7.62939453125e-05
16,1967.7139340207377,185204086.0893888,982725.4456447982,1427521.4526698564,980922.1790275912,11471629.106362201,139739925.8523616,3.814697265625e-05
17,981.5047617736404,185205069.9463558,829176.9469680353,1224191.940384392,847341.4526812597,11358320.242909566,140344679.66229504,1.9073486328125e-05
18,489.579090094596,185205560.69873667,699619.222295072,1047702.8532520495,729718.7114367278,11184184.640676009,140942976.74325013,9.5367431640625e-06
19,244.20430220299892,185205805.48828173,590304.3040543114,895092.6434226421,626785.0690313763,10960402.699516688,141531862.82967287,4.76837158203125e-06
20,121.81022927864599,185205927.59043282,498069.54846764804,763554.5300754678,537165.6953713486,10696931.934057813,142108848.23179853,2.384185791015625e-06
21,60.759502691243306,185205988.49554747,420246.32713152614,650489.2645046709,459471.48020454124,10402518.364161497,142671905.55449516,1.1920928955078125e-06
22,30.30711943610454,185206018.87529883,354582.9111491347,553530.436992804,392358.05622843833,10084753.137728952,143219436.9007813,5.960464477539062e-07
23,15.11733058747835,185206034.02885854,299179.36751121294,470551.4076116553,334561.6373624202,9750155.684910068,143750228.53527412,2.980232238769531e-07
24,7.540594036754903,185206041.58752385,252432.60940884292,399660.3318823685,284918.67058412393,9404270.414911801,144263402.1826189,1.4901161193847656e-07
25,3.7612829922659143,185206045.35782087,212990.02320273733,339187.8441319081,242374.4182626541,9051768.149419032,144758367.55370075,7.450580596923828e-08
26,1.8761452584440026,185206047.23846236,179710.3365735473,287670.5742243588,205984.1701643041,8696546.508580936,145234778.28431165,3.725290298461914e-08
27,0.9358298851800574,185206048.17653498,151630.59872667457,243832.67075788585,174909.72863824174,8341825.61952725,145692492.19652012,1.862645149230957e-08
28,0.4667962515452845,185206048.64444992,127938.31879432271,206566.7841194573,148413.03200859233,7990237.0301870415,146131536.11809438,9.313225746154785e-09
29,0.232840117533545,185206048.87784806,107947.95704071803,174915.4504012059,125848.21203416049,7643904.755128862,146552075.142555,4.6566128730773926e-09
30,0.1161417216902729,185206048.99426812,91081.08903144291,148053.4560885166,106652.96861738172,7304518.084560213,146954386.0355608,2.3283064365386963e-09
31,0.057932025031027894,185206049.052339,76849.66900911578,125271.51222755041,90339.84833082001,6973396.248628892,147338834.41387165,1.1641532182693481e-09
32,0.028896760572791856,185206049.081305,64841.908295693385,105961.39495333715,76487.80222229761,6651545.317603308,147705855.29802865,5.820766091346741e-10
33,0.014413837098807213,185206049.09575337,54710.36015903448,89602.59438620496,64734.249849483094,6339707.886209019,148055936.64498246,2.9103830456733704e-10
34,0.0071896882485356925,185206049.1029603,46161.86640141564,75750.43956450286,54767.77352129279,6038406.175017497,148389605.48830563,1.4551915228366852e-10
35,0.003586249570935547,185206049.10655513,38949.074784789,64025.62129859834,46321.496651772104,5747979.210461433,148707416.3432172,7.275957614183426e-11
36,0.001788837782730677,185206049.10834825,32863.28185395272,54105.008909072036,39167.153650535634,5468614.737184086,149009941.56661355,3.637978807091713e-11
37,0.0008922805146798623,185206049.10924268,27728.394066410983,45713.64447148414,33109.829052535824,5200376.485736507,149297763.39578083,1.8189894035458565e-11
38,0.0004450736252126828,185206049.10968882,23395.832494600898,38617.79492648982,27983.325644138946,4943227.3746976955,149571467.42179206,9.094947017729282e-12
39,0.00022200477159476216,185206049.10991135,19740.23366785155,32618.945022148757,23646.111553691928,4697049.175693571,149831637.2838408,4.547473508864641e-12
