time, Susceptible, Socially_distanced, Exposed, Infectious, Hospitalized, Isolation_treated, Recovered, R0SD
1,133990732.85000001,51534897.25,14429771.23,4122791.7800000003,1442977.123,618418.767,0.0,2.5
2,33257424.42942667,152027946.8875,12415378.258385835,5346745.5896875,1752186.5065000001,1307358.9723421051,100525597.9936579,0.625
3,8254722.219612263,176971015.20957,10535109.293257453,5949962.045138412,2212779.650671875,2114643.858626731,125537474.68269327,0.15625
4,2048879.012491079,183162056.8742792,8903800.008597963,6108582.360925286,2593880.3366205404,3109736.638771788,131839813.39259335,0.0390625
5,508545.9081654721,184698716.1336475,7516255.102211828,5972655.522037396,2824085.7585415915,4243006.457673017,133540143.0013707,0.009765625
6,126224.60337343649,185080125.5647716,6342752.116159162,5653906.501248646,2905206.759780145,5431733.207592601,134144868.56184602,0.00244140625
7,31329.81750705022,185174794.01730168,5351923.431345602,5231484.8940863535,2866080.005202234,6598455.89234622,134525417.70951256,0.0006103515625
8,7776.276880990663,185198291.38043198,4515741.572693624,4759851.706712515,2740911.2261227053,7684208.742718589,134896202.2248716,0.000152587890625
9,1930.1255781723612,185204123.5880927,3810170.8956023203,4275473.400767765,2560418.539739481,8650232.31668949,135306466.4716228,3.814697265625e-05
10,479.0704863688695,185205571.18227634,3214835.154072632,3801944.2530136863,2349077.6200616816,9475166.20147031,135763189.45089534,9.5367431640625e-06
11,118.90860030310938,185205930.48514113,2712518.0202700724,3353776.1825841134,2125024.8732842626,10151012.05352903,136262241.71173224,2.384185791015625e-06
12,29.513935064573843,185206019.66659135,2288687.292817885,2939163.077605284,1900956.4822881597,10679260.69788016,136796594.68547347,5.960464477539062e-07
13,7.325562329179174,185206041.80204263,1931079.9562365275,2561979.6977067576,1685269.010545401,11067672.586504232,137358683.17344478,1.4901161193847656e-07
14,1.8182551164823426,185206047.29621437,1629348.7262100358,2223216.0164420255,1483129.4296993897,11327798.00827671,137941197.75111675,3.725290298461914e-08
15,0.45130346587122117,185206048.6599057,1374762.9910000311,1921997.7508018373,1297368.7189602014,11473162.827953946,138537399.00998056,9.313225746154785e-09
16,0.11201663422315161,185206048.9983833,1159956.2744655085,1656305.0304451329,1129183.79718056,11517996.512278575,139141250.02361363,2.3283064365386963e-09
17,0.027803301528962376,185206049.0823958,978713.1067811298,1423471.9407190853,978668.1562015632,11476378.068117352,139747460.4503776,5.820766091346741e-10
18,0.0069009712822690125,185206049.10324827,825789.1838964324,1220527.8784738656,845202.0632805529,11361692.247896168,140351480.36955205,1.4551915228366852e-10
19,0.001712868688961017,185206049.108424,696759.623924989,1044425.4688392167,727733.0012587428,11186309.477015594,140949464.17724863,3.637978807091713e-11
20,0.0004251458273940782,185206049.10970867,587890.9326897808,892187.7928676921,624972.8678391755,10961422.847275723,141538217.30890253,9.094947017729282e-12
21,0.00010552412786541922,185206049.11002752,496032.9744577649,760998.8028835473,535533.3821365108,10696992.289233431,142115134.30118328,2.2737367544323206e-12
22,2.6191816652679326e-05,185206049.11010668,418527.82219892833,648254.2544216862,458016.3917891422,10401759.386131506,142678133.89543262,5.684341886080801e-13
23,6.500989616729911e-06,185206049.11012632,353132.8499803927,551585.6630348472,391071.75949999265,10083306.561703367,143225594.91577497,1.4210854715202004e-13
24,1.613590479700719e-06,185206049.1101312,297955.842170968,468866.2550855718,333432.2955087081,9748142.096100554,143756295.26113266,3.552713678800501e-14
25,4.005042908360284e-07,185206049.11013243,251400.24183175716,398205.2916533926,283932.71152574697,9401798.133533826,144269355.37145495,8.881784197001252e-15
26,9.940792846510904e-08,185206049.11013272,212118.95404554583,337935.2565262565,241517.67867622164,9048933.008584393,144764186.85216755,2.220446049250313e-15
27,2.4673733759746477e-08,185206049.1101328,178975.36747592947,286595.0289643089,205242.65346967493,8693432.215891747,145240446.4841984,5.551115123125783e-16
28,6.124190967932018e-09,185206049.11013284,151010.46630781554,242911.17289134566,174270.0839759147,8338504.478632282,145697995.5481927,1.3877787807814457e-16
29,1.5200664551584052e-09,185206049.11013284,127415.08094721938,205778.76502910542,147862.83521079377,7986770.863850119,146136864.20496282,3.469446951953614e-17
30,3.772909826288568e-10,185206049.11013284,107506.47454921636,174242.68016983208,125376.10886267324,7640345.920200246,146557220.56621808,8.673617379884035e-18
31,9.364622519626237e-11,185206049.11013284,90708.5879009013,147479.89677568912,106248.72447379463,7300910.505147359,146959344.0357023,2.168404344971009e-18
32,2.3243639252666172e-11,185206049.11013284,76535.37104138547,124783.13944128266,89994.33643081959,6969776.419744922,147343602.48334163,5.421010862427522e-19
33,5.769231643622587e-12,185206049.11013284,64576.719316168994,105546.00630617847,76192.95307573046,6647943.25007902,147710432.82122293,1.3552527156068805e-19
