time, Susceptible, Socially_distanced, Border_closed, Exposed, Infectious, Hospitalized, Isolation_treated, Recovered, R0SD, R0BC
1,133990732.85000001,41227917.800000004,10306979.450000001,14429771.23,4122791.7800000003,1442977.123,618418.767,0.0,2.5,2.5
2,25309592.722882524,141720967.4375,18480414.15385,12189775.261079974,5346745.5896875,1752186.5065000001,1307358.9723421051,108699032.6975079,0.625,0.2124999999999999
3,4780744.684151404,160703161.97966188,20024299.309945833,10287891.217009624,5914711.576809371,2212779.650671875,2114643.858626731,129293920.762731,0.15625,0.01806250000000001
4,903037.8317537331,164288720.49277544,20315924.735679068,8680931.127902754,6043516.685264782,2585067.7195382803,3109736.638771788,133282401.74676867,0.0390625,0.0015353125000000002
5,170575.37673615245,164965998.86659074,20371010.043416046,7324634.412633251,5889033.002683392,2803413.0310853356,4238600.149131887,134178435.77772999,0.009765625,0.00013050156250000002
6,32220.088821943238,165093930.39914286,20381415.14139695,6180178.943040496,5561248.878986489,2873964.766213516,5417222.446299192,134539856.62663838,0.00244140625,1.10926328125e-05
7,6086.072583030007,165118095.4657593,20383380.56681509,5214529.507394736,5136589.619089944,2827294.60285338,6569087.858548097,134851104.08953083,0.0006103515625,9.428737890625004e-07
8,1149.6020290510041,165122660.0201966,20383751.817242656,4399759.93755345,4667212.449847885,2697794.706199176,7636993.693735413,135201781.36063504,0.000152587890625,8.014427207031259e-08
9,217.14904105534401,165123522.22171837,20383821.942966428,3712297.5730531593,4187871.8276286405,2515700.4655615594,8583944.010322612,135604660.72439298,3.814697265625e-05,6.812263125976573e-09
10,41.01741719278351,165123685.08349916,20383835.18905793,3132251.1010151696,3720950.3665110366,2304818.18968794,9390007.716244306,136056623.35912436,9.5367431640625e-06,5.790423657080085e-10
11,7.747805401259214,165123715.84656206,20383837.69112038,2642836.8709679977,3280127.009416898,2082646.686471729,10048205.878654364,136550867.55668363,2.384185791015625e-06,4.921860108518076e-11
12,1.4634877728562268,165123721.6574161,20383838.163736507,2229893.610726696,2873038.518151423,1861355.095590089,10560676.28090842,137079726.78113562,5.960464477539062e-07,4.1835810922403686e-12
13,0.27643911409437094,165123722.75503194,20383838.25300926,1881472.7342107247,2503199.7652896135,1648937.1773329002,10935528.761287233,137635553.03544044,1.4901161193847656e-07,3.5560439284043104e-13
14,0.05221675590233166,165123722.96236128,20383838.269872047,1587492.6195205357,2171379.938687636,1450268.5299888535,11184443.204622775,138211107.40496346,3.725290298461914e-08,3.022637339143662e-14
15,0.009863255443775164,165123723.00152385,20383838.27305727,1339446.8977261635,1876580.6758158107,1267979.2496663358,11320922.564110741,138799762.3528177,9.313225746154785e-09,2.5692417382721134e-15
16,0.001863076444869995,165123723.0089213,20383838.273658928,1130158.3199575292,1616724.084631571,1103134.7937871206,11359074.15925387,139395600.39050686,2.3283064365386963e-09,2.1838554775312969e-16
17,0.000351917666455658,165123723.0103186,20383838.273772575,953571.082464369,1389130.3009670423,955748.4180514531,11312795.547765646,139993446.4003996,5.820766091346741e-10,1.856277155901604e-17
18,6.647394652248832e-05,165123723.01058254,20383838.27379404,804575.6008293498,1190843.2073603394,825156.7842674871,11195259.464803707,140588856.69267267,1.4551915228366852e-10,1.577835582516365e-18
19,1.255630503230621e-05,165123723.0106324,20383838.273798093,678860.6631997712,1018847.3431498404,710289.1939738283,11018613.674579361,141178080.87508467,3.637978807091713e-11,1.3411602451389097e-19
20,2.3717682537621135e-06,165123723.0106418,20383838.27379886,572788.6845748083,870207.4859873445,609856.4327743743,10793831.236062098,141758007.91059902,9.094947017729282e-12,1.139986208368073e-20
21,4.480047780840345e-07,165123723.0106436,20383838.273799006,483290.4526099948,742153.8464553222,522480.08788402326,10530663.071603911,142326104.29144633,2.2737367544323206e-12,9.689882771128618e-22
22,8.462390069845997e-08,165123723.01064393,20383838.273799032,407776.31938968314,632129.5180618034,446778.5055558422,10237657.690724663,142880349.71626794,5.684341886080801e-13,8.236400355459331e-23
23,1.5984661145912048e-08,165123723.010644,20383838.273799036,344061.26948504517,537812.1884509906,381421.63229337195,9922222.854517076,143419173.8052535,1.4210854715202004e-13,7.000940302140431e-24
24,3.019352568727433e-09,165123723.010644,20383838.273799036,290301.69612800685,457118.71469528123,325163.86325943365,9590711.415162863,143941396.06075442,3.552713678800501e-14,5.950799256819365e-25
25,5.703273814229351e-10,165123723.010644,20383838.273799036,244942.05610800578,388198.676041462,276861.6103035371,9248519.061784009,144446170.345763,8.881784197001252e-15,5.058179368296464e-26
26,1.0772949319324933e-10,165123723.010644,20383838.273799036,206669.8598411299,329421.2032979724,235480.47416213405,8900185.70578925,144932934.50690952,2.220446049250313e-15,4.299452463051998e-27
27,2.0349090858515188e-11,165123723.010644,20383838.273799036,174377.69424095334,279358.0680736558,200095.5379055601,8549495.11624983,145401365.33353,5.551115123125783e-16,3.6545345935941965e-28
28,3.843752407015449e-12,165123723.010644,20383838.273799036,147131.17951580437,236765.0657803908,169887.285971194,8199569.458031566,145851338.76070106,1.3877787807814457e-16,3.1063544045550686e-29
29,7.260487787470173e-13,165123723.010644,20383838.273799036,124141.93271645994,200563.04613463755,144134.9094306947,7852956.813752344,146282895.04796588,3.469446951953614e-17,2.6404012438718133e-30
30,1.3714380462121083e-13,165123723.010644,20383838.273799036,104744.75572951307,169819.46158792503,122208.21624900674,7511710.75195441,146696208.56447917,8.673617379884035e-18,2.2443410572910426e-31
31,2.5905178407488812e-14,165123723.010644,20383838.273799036,88378.38764677665,143730.96427368018,103558.97352148463,7177461.662607629,147091561.76195046,2.168404344971009e-18,1.9076898986973874e-32
32,4.893245233915833e-15,165123723.010644,20383838.273799036,74569.2645769678,121607.34627506898,87712.22782916235,6851480.009231128,147469322.90208772,5.421010862427522e-19,1.621536413892781e-33
33,9.24288130450327e-16,165123723.010644,20383838.273799036,62917.816986816586,102856.95729645295,74257.95048334842,6534731.912133545,147829927.11309987,1.3552527156068805e-19,1.3783059518088634e-34
34,1.7458935885126249e-16,165123723.010644,20383838.273799036,53086.9080826265,86973.6268765298,62843.21456578745,6227927.628841874,148173860.37163323,3.3881317890172014e-20,1.171560059037533e-35
35,3.2978292395947873e-17,165123723.010644,20383838.273799036,44792.07869471611,73525.04954530775,53165.014002026175,5931563.57144888,148501646.03630912,8.470329472543003e-21,9.95826050181903e-37
36,6.229290126892341e-18,165123723.010644,20383838.273799036,37793.31639866672,62142.5494550302,44963.76938734003,5645958.522057847,148813833.59270117,2.117582368135751e-21,8.464521426546179e-38
37,1.1766544798349341e-18,165123723.010644,20383838.273799036,31888.110711375048,52512.11777856432,38017.522057427566,5371284.6950642625,149110989.30438843,5.293955920339377e-22,7.19484321256425e-39
