time, Susceptible, Exposed, Infected, Hospitalized, Recovered, Death
1,185525630.1,18552563.009999998,1442977.123,618418.767,0.0,0.0
2,183688926.36201,17490428.7776775,4135675.5043124994,736124.4723189999,61841.8767,26592.006981
3,181870405.9910261,16576069.652149288,6277744.214494252,1221669.45910774,135454.3239319,58245.359290716995
4,180069888.97171494,15786575.78831212,7970934.495571971,1943791.3285259404,257621.26984267402,110777.14603234982
5,178287197.07089496,15102615.222208329,9298882.034556886,2804534.096485584,452000.40269526804,194360.17315896525
6,176522153.8198931,14507874.844740137,10330253.943804525,3731897.439910558,732453.8123438265,314955.1393078454
7,174774584.49707615,13988588.723066432,11121358.824894525,4673986.669403994,1105643.5563348823,475426.72922399937
8,173044316.1105551,13533140.121608356,11718310.26646015,5594372.122092727,1573042.2232752817,676408.1560083712
9,171331177.38106063,13131725.707101546,12158819.086681435,6468421.232413488,2132479.4354845546,916966.1572583583
10,169634998.72498813,12776072.22143943,12473677.073175848,7280411.151418565,2779321.5587259037,1195108.2702521384
11,167955612.23761076,12459197.424216902,12687984.490179209,8021266.22436226,3507362.67386776,1508165.9497631367
12,166292851.67645842,12175208.387835357,12822164.874830356,8686794.367161201,4309489.296303987,1853080.3974107138
13,164646552.44486147,11919131.308833022,12892803.346168151,9276320.611918628,5178168.733020106,2226612.555198645
14,163016551.57565734,11686767.911031991,12913338.563720718,9791635.813866857,6105800.794211969,2625494.341511146
15,161402687.71505833,11474574.285532251,12894633.397859365,10236194.544443998,7084964.375598654,3046534.681507421
16,159804801.10667926,11279558.661796914,12845445.1445653,10614509.209996987,8108583.830043054,3486691.0469185133
17,158222733.57572314,11099195.151847271,12772812.59339031,10931697.985048175,9170034.751042753,3943114.9429483837
18,156656328.5133235,10931350.971770793,12682374.322524974,11193152.686527759,10263204.549547572,4413177.956305455
19,155105430.86104158,10774225.034713509,12578630.15150345,11404299.612715,11382519.818200348,4894483.521826149
20,153569887.09551728,10626296.138563834,12465155.648676943,11570431.932597248,12522949.779471848,5384868.405172894
21,152049545.21327165,10486279.249158856,12344777.899087979,11696596.687475404,13679992.972731574,5882396.978274575
22,150544254.71566024,10353088.614089174,12219719.33189934,11787523.061036132,14849652.641479114,6385350.635836018
23,149053866.59397522,10225806.639822777,12091715.237579439,11847581.4535793,16028404.947582727,6892214.127460572
24,147578233.31469485,10103657.631630823,11962109.633968972,11880765.196800236,17213163.09294066,7401660.129964482
25,146117208.80487937,9985985.636503985,11831933.334058577,11890688.578510512,18401239.61262068,7912533.033426892
26,144670648.43771106,9872235.747968543,11701967.399182528,11880596.302363304,19590308.470471732,8423832.642302845
27,143238409.01817772,9761938.331881799,11572794.606347967,11853380.659579998,20778368.100708064,8934698.283304466
28,141820348.76889777,9654695.716805227,11444841.098369075,11811603.597595481,21963706.166666064,9444393.651666407
29,140416327.3160857,9550170.963866498,11318410.00435288,11757521.582906337,23144866.52642561,9952292.606363012
30,139026205.67565644,9448078.391191605,11193708.502549468,11693111.711458286,24320618.684716243,10457866.034427984
31,137649846.23946744,9348175.578756915,11070869.536523232,11620097.951369675,25489929.855862074,10960669.83802069
32,136287112.76169673,9250256.622346874,10949969.17977211,11539976.735255701,26651939.65099904,11460334.049929585
33,134937870.34535593,9154146.441445973,10831040.465617795,11454041.373510152,27805937.32452461,11956553.04954558
34,133601985.4289369,9059695.976389064,10714084.352005472,11363404.952186456,28951341.461875625,12449076.828606516
35,132279325.77319042,8966778.135824747,10599078.36945834,11269021.522881716,30087681.95709427,12937703.241550533
36,130969760.44803584,8875284.377256716,10485983.400401194,11171705.497889394,31214584.109382443,13422271.167034447
37,129673159.81960028,8785121.821745908,10374748.955718813,11072149.240319952,32331754.659171384,13902654.503443692
38,128389395.53738624,8696210.819312152,10265317.246692495,10970938.892628316,33438969.58320338,14378756.92077745
39,127118340.52156611,8608482.894614752,10157626.294825377,10868568.523367109,34536063.47246621,14850507.293160466
40,125859868.9504026,8521879.013494702,10051612.276419593,10765452.695214951,35622920.32480292,15317855.739665251
41,124613856.24779361,8436348.12024514,9947211.261361055,10661937.570716297,36699465.59432442,15780770.205559494
42,123380179.07094046,8351845.903309993,9844360.474954922,10558310.678298304,37765659.35139605,16239233.521100294
43,122158715.29813816,8268333.753720118,9742999.186639262,10454809.462009493,38821490.41922588,16693240.88026712
44,120949344.01668659,8185777.886152917,9643069.308995279,10351628.735604888,39866971.36542683,17142797.68713353
45,119751945.51092139,8104148.59720672,9544515.773850203,10248927.156269858,40902134.23898732,17587917.722764537
46,118566401.25036326,8023419.639451291,9447286.73875658,10146832.82633044,41927026.954614304,18028621.590484142
47,117392593.87798466,7943567.693165623,9351333.666169904,10045448.123416128,42941710.23724735,18464935.402016353
48,116230407.1985926,7864571.920500542,9256611.30877419,9944853.851220464,43946255.04958896,18896889.671323247
49,115079726.16732654,7786413.589188399,9163077.627241801,9845112.794606537,44940740.43471101,19324518.386925727
