time, Susceptible, Exposed, Infected, Hospitalized, Isolation_treated, Recovered
0,185525630.1,14429771.23,4122791.7800000003,1442977.123,618418.767,0.0
1,184971372.28007624,12729377.29523625,5346745.5896875,1752186.5065000001,1307358.9723421051,32548.356157894734
2,184418770.3053895,11293014.067542315,5999024.394646289,2212779.650671875,2114643.858626731,101356.72312326869
3,183867819.22910213,10079431.69577618,6263801.744038204,2606145.9239975098,3109736.638771788,212653.7683141493
4,183318514.1191552,9053825.603258094,6272762.510493681,2869023.3980083056,4249139.251361501,376324.1177231908
5,182770850.05822423,8186829.413679993,6119232.133379338,3002702.326627573,5460012.042399259,599963.0256895856
6,182224822.1436753,7453665.2323414385,5868616.195922002,3031159.196658621,6673994.150849927,887332.0805527045
7,181680425.48752108,6833426.695942319,5566097.339494851,2982733.647309811,7838310.899134505,1238594.9305974375
8,181137655.2163771,6308474.045845301,5242295.925862126,2882891.1585286185,8917135.043887595,1651137.6094992536
9,180596506.47141817,5863923.7211409,4917421.014059923,2752019.560729841,9889257.726105189,2120460.5065459693
10,180056974.40833482,5487217.702795996,4604303.841973208,2605365.0338799013,10744780.257727731,2640947.7552883476
11,179519054.1972899,5167760.147779022,4310605.64754178,2453758.4774332526,11481948.024260959,3206462.50569507
12,178982741.02287552,4896610.799102954,4040416.7587468075,2304530.6506020715,12104514.209069114,3810775.5596035416
13,178448030.08406967,4666226.300548958,3795408.0064199422,2162369.514987738,12619699.839155987,4447855.254817706
14,177914916.59419352,4470241.930964341,3575653.864275731,2030036.7590988544,13036689.868273225,5112049.983194336
15,177383395.78086835,4303287.442576316,3380215.6999199768,1908931.84561836,13365566.675808271,5798191.555208717
16,176853462.885973,4160831.6745691113,3207550.437842532,1799519.8477891742,13616581.720943332,6501642.432882836
17,176325113.16560116,4039051.445789532,3055792.7775333226,1701647.5333552202,13799679.448998796,7218304.628721959
18,175798341.89001894,3934720.932967151,2922946.371554606,1614771.9610609408,13924204.297308048,7944603.547090316
19,175273144.3436225,3845118.3335874653,2807009.924442072,1538122.573419122,13998737.420085464,8677456.404843371
20,174749515.82489595,3767947.1126909964,2706057.1829545954,1470813.7678200789,14031023.053106315,9414232.05853208
21,174227451.64636907,3701269.554859905,2618284.6235739146,1411921.1796486883,14027955.039484443,10152706.956063991
22,173706947.13457555,3643450.6987065724,2542036.835627296,1360531.7457178228,13995602.206178028,10891020.379194751
23,173187997.630011,3593111.031598215,2475816.798393374,1315775.0817657355,13939257.436606517,11627631.021625174
24,172670598.48709133,3549086.575830652,2418286.1974822516,1276841.7404812113,13863499.849246936,12361276.149867622
25,172154745.07411113,3510395.211337298,2368259.425585228,1242992.4196111686,13772262.832685072,13090934.036670092
26,171640432.77320224,3476208.260474752,2324693.8209603736,1213561.0662018913,13668903.103928285,13815789.975232465
27,171127656.9802923,3445826.512685514,2286677.90641946,1187953.988341039,13556267.6841909,14535205.928070797
28,170616413.10506368,3418659.9953070255,2253418.8224217067,1165646.4707753845,13436756.905509267,15248693.70092295
29,170106696.5709123,3394210.9051916804,2224229.7410830026,1146177.940993119,13312382.40902805,15955891.432791859
30,169598502.8149067,3372059.207261081,2198517.7597484523,1129146.4057673102,13184819.67378629,16656543.138530178
31,169091827.28774714,3351850.4832860706,2175772.570945883,1114202.642820768,13055454.999102246,17350481.016097877
32,168586665.453725,3333285.679294767,2155556.066222861,1101044.4641468548,12925427.110033564,18037610.226576943
33,168083012.79068202,3316112.454947963,2137492.937056953,1089411.2486291425,12795663.704736805,18717895.86394713
