time, Susceptible, Socially_distanced, Exposed, Infectious, Hospitalized, Isolation_treated, Recovered, R0SD
0,133990732.85000001,51534897.25,14429771.23,4122791.7800000003,1442977.123,618418.767,0.0,2.5
1,100412963.37647557,85032580.4625,12255205.736336945,5346745.5896875,1752186.5065000001,1307358.9723421051,33530231.568657897,1.875
2,75249705.70414656,110135821.3066189,10400346.668244416,5924935.088568273,2212779.650671875,2114643.858626731,58702280.77974217,1.40625
3,56392302.52901055,128948247.73265554,8820269.250430595,6068755.483339394,2587623.597478006,3109736.638771788,77626004.2509697,1.0546875
4,42260521.21753632,143046323.3649082,7475807.859272404,5929733.682884326,2811000.669573852,4239878.08810175,91887750.23263137,0.791015625
5,31670131.79962052,153611453.66929227,6332971.994792812,5615395.240174558,2887933.7555080075,5422226.944567531,102676032.0153366,0.59326171875
6,23733669.611938756,161528986.6191974,5362374.358383068,5201073.304317296,2847815.6877976432,6580813.456817981,110878945.33074528,0.4449462890625
7,17786066.59462701,167462404.02218208,4538688.979212769,4738675.971735326,2724176.1699781455,7658362.697726382,117158721.33672039,0.333709716796875
8,13328919.213966649,171908920.67083883,3840149.5582143827,4263177.131803489,2546757.077922904,8617379.061782487,122008309.70631011,0.25028228759765625
9,9988722.7154608,175241150.47433048,3248092.8847575733,3797406.2173236143,2339172.821912324,9437211.334334334,125794085.77621138,0.1877117156982422
10,7485571.777028569,177738331.15319568,2746548.6310812333,3355569.1762360814,2118937.9652870656,10110102.411904478,128787961.7884626,0.14078378677368164
11,5609704.706520297,179609724.09745282,2321874.5337259206,2945825.1057835035,1898361.276702553,10637460.74128988,131191465.38597786,0.10558784008026123
12,4203925.609387135,181012150.2740829,1962434.5583343327,2572161.7252323027,1685636.9147971524,11026775.024836427,133153757.91741267,0.07919088006019592
13,3150431.5207036207,182063131.6764297,1658316.8449313238,2235751.6936639664,1485858.888706652,11289236.901980454,134785095.900014,0.05939316004514694
14,2360940.6276077908,182850739.5566056,1401087.850830729,1935925.777268494,1301867.3677693177,11437995.983071651,136166874.14345205,0.04454487003386021
15,1769294.336492722,183440974.71350756,1183579.0083515486,1670864.3096436718,1134915.1282017822,11486929.878373591,137359109.08893672,0.033408652525395155
16,1325913.2451446196,183883298.29763076,999702.2955215408,1438082.4522876833,985173.6415118091,11449812.185717978,138406007.9298164,0.025056489394046366
17,993642.4355118418,184214776.6089169,844291.3101929231,1234765.3228910032,852107.4338278254,11339777.312488725,139340107.9350877,0.018792367045534775
18,744637.9265501759,184463187.21779487,712964.6930589842,1057994.5093858966,734745.0476366635,11169000.644534811,140185348.92883348,0.014094275284151081
19,558033.3748239329,184649346.6994324,602009.029857217,904896.6153298888,631871.151164806,10948531.0291671,140959350.54965708,0.01057070646311331
20,418191.49456981744,184788855.04313838,508278.6554901591,772736.3724126067,542159.7294148752,10688228.129530182,141675097.36858237,0.007928029847334983
21,313393.6678710587,184893402.91678083,429110.06862612616,658970.8192297925,464263.9578105892,10396769.671630768,142342183.56483167,0.005946022385501237
22,234857.93550800747,184971751.3337486,362248.93579858047,561276.5626451765,396874.68371274276,10081703.246766021,142967730.38556948,0.004459516789125928
23,176003.07704295247,185030465.8176256,305787.9141681054,477558.8182024106,338756.4825176655,9749524.628266286,143557060.8298026,0.003344637591844446
24,131897.11074306577,185074466.58688635,258113.7496184875,405948.47524057445,288767.9458094354,9405769.994353209,144114194.47423524,0.0025084781938833345
25,98843.9981542082,185107440.8645721,217862.31114368996,344791.6298083195,245871.0917148613,9055113.441239337,144642209.2779396,0.0018813586454125009
26,74073.91955795938,185132151.86411065,183880.40408518518,292634.7084724412,209133.45330951054,8701464.069136802,145143505.19543812,0.0014110189840593756
27,55511.165686749744,185150670.34400013,155193.3649285948,248207.34449264107,177725.40377286557,8348059.002679094,145619995.46844006,0.0010582642380445317
28,41600.19524133134,185164548.1354218,130977.58068223283,210404.47163957375,150914.53800959306,7997550.178108732,146073244.78631854,0.0007936981785333988
29,31175.281994302764,185174948.18423215,110537.19813732969,178268.6007112792,128058.38691468997,7652083.753528859,146504568.52871355,0.0005952736339000491
30,23362.828029679076,185182742.00473073,93284.39439441991,150972.88774241717,108596.34363516478,7313371.696800474,146915103.59939787,0.0004464552254250368
31,17508.157059945966,185188582.71173814,78722.67173260514,127805.35243094098,92041.39375318668,6982755.5687864525,147305858.6062369,0.0003348414190687776
32,13120.653169484745,185192959.75100312,66432.71889986032,108154.43178142529,77972.03498432858,6661262.814674285,147677749.09649065,0.0002511310643015832
33,9832.647662714158,185196239.9142955,56060.44878615655,91495.93616417213,66024.62543752062,6349656.05244675,148031622.0395027,0.0001883482982261874
34,7368.608773527614,185198698.07621118,47306.88063682759,77381.39724596606,55886.29675980334,6048475.941352524,148368272.6252314,0.00014126122366964054
35,5522.052362681773,185200540.22840455,39919.58475478722,65427.74803397885,47288.49769139319,5758078.250713872,148688455.6164433,0.0001059459177522304
36,4138.238741314155,185201920.74149522,33685.45016754889,55308.246143419645,40001.18585419131,5478665.749521996,148992892.87957156,7.94594383141728e-05
37,3101.205630689933,185202955.30118054,28424.572004165057,46744.53619624425,33827.654462950566,5210315.513526881,149282278.2681791,5.9594578735629595e-05
38,2324.0506324119865,185203730.6025882,23985.08621911973,39499.741522833974,28599.961280536343,4953002.208467468,149557280.70187765,4.4695934051722196e-05
39,1741.6488892459972,185204311.6152463,20238.805582445264,33372.475863862936,24174.916020976663,4706617.862346291,149818546.0412972,3.3521950538791646e-05
40,1305.1956833933955,185204747.02746862,17077.533193729294,28191.670270154274,20430.576976454067,4470988.590759606,150066698.18311667,2.5141462904093734e-05
41,978.1166470850824,185205073.32638946,14409.948747669056,23812.117264135908,17263.2060557656,4245888.690260486,150302339.67102486,1.8856097178070302e-05
42,733.002864993849,185205317.85555124,12158.97887616573,20110.64243992522,14584.632343916777,4031052.4674851852,150526052.0259898,1.4142072883552727e-05
43,549.3140329329799,185205501.10626748,10259.57654257724,16982.82227934481,12319.976781939695,3826184.127473713,150738395.9328895,1.0606554662664546e-05
44,411.65719970225086,185205638.4347757,8656.846032797032,14340.175544286303,10405.69396080605,3630966.003892382,150939911.37337002,7.95491599699841e-06
45,308.4968522684261,185205741.34907565,7304.459887680758,12107.763850839263,8787.890866474601,3445065.3769837124,151131117.761559,5.966186997748807e-06
46,231.18825063271873,185205818.4732887,6163.32241879924,10222.144745579566,7420.886395947116,3268140.092049386,151312514.11613965,4.474640248311605e-06
47,173.25300675713586,185205876.27035138,5200.441472079262,8629.627687122056,6265.979384368449,3099843.161981602,151484579.28646806,3.355980186233704e-06
48,129.83620174571317,185205919.58360308,4387.976045389016,7284.789745353926,5290.396613964738,2939826.5115694916,151647772.23982406,2.516985139675278e-06
49,97.29954821150147,185205952.04265353,3702.4323913947655,6149.213566107479,4466.395743320851,2787743.9987412374,151802532.41000974,1.8877388547564587e-06
50,72.91650521866009,185205976.3675406,3123.985486179299,5190.415235736042,3770.501263187295,2643253.828258096,151949280.1032516,1.415804141067344e-06
51,54.643796718825875,185205994.5966669,2635.906336158953,4380.934159017546,3182.854440527658,2506020.4563497896,152088416.95491782,1.061853105800508e-06
52,40.95018694182056,185206008.25761607,2224.0786317314155,3697.5609842879962,2686.6607600182156,2375716.0700779594,152220326.42935908,7.96389829350381e-07
53,30.688164279630293,185206018.4951628,1876.590821450117,3120.683024424031,2267.7206260811067,2252021.7125591286,152345374.35480466,5.972923720127857e-07
54,22.997780893932784,185206026.16720387,1583.391847914326,2633.729584169604,1914.031069146561,2134628.1143164258,152463909.48540148,4.479692790095893e-07
55,17.234589896809283,185206031.9166491,1336.0006174513528,2222.7021643638163,1615.4479306156816,2023236.2817290819,152576264.08296862,3.35976959257192e-07
56,12.915641308225638,185206036.2252966,1127.2608220889601,1875.7767197496362,1363.399506398795,1917557.8856033855,152682754.5117071,2.5198271944289397e-07
57,9.679011302359303,185206039.4542069,951.13403831637,1582.9670432636271,1150.6439331368065,1817315.4861143015,152783681.8398597,1.8898703958217046e-07
58,7.253473331714057,185206041.87395975,802.5251299744926,1335.8399759346532,971.06372738431,1722242.6246011697,152879332.44309223,1.4174027968662783e-07
59,5.435769597775177,185206043.68732807,677.1349138169885,1127.2745335095044,819.4918576758183,1632083.8078016425,152969978.6051238,1.0630520976497088e-07
60,4.073578238842793,185206045.04627046,571.3358324925726,951.2582304160328,691.5645622152853,1546594.4059514466,153055879.11184523,7.972890732372815e-08
61,3.052748901418738,185206046.06466502,482.06704344332155,802.7148966389891,583.5968387116509,1465540.4826561622,153137279.83581617,5.979668049279611e-08
62,2.287737048045676,185206046.82785225,406.74589253332095,677.3591480172608,492.4771435155727,1388698.5714620359,153214414.30861688,4.4847510369597084e-08
63,1.71443540560064,185206047.3997865,343.19321420542315,571.573406721277,415.5783587621016,1315855.4115357918,153287504.27904913,3.363563277719781e-08
64,1.2848018361585525,185206047.82839537,289.5702992038677,482.30399476055516,350.68253106137,1246807.652739605,153356760.25563353,2.5226724582898358e-08
65,0.9628334510614425,185206048.14959583,244.32570787932084,406.9733553210207,295.91726422082377,1181361.538597788,153422382.03224134,1.892004343717377e-08
66,0.7215496027423824,185206048.39030418,206.15039150873065,343.40590834690937,249.70197094066705,1119332.5741458042,153484559.1960338,1.4190032577880327e-08
67,0.5407309318592277,185206048.5706916,173.93982410568904,289.76542993342116,210.70246255706087,1060545.1843867586,153543471.6171657,1.0642524433410245e-08
68,0.40522500401644856,185206048.70587432,146.7620497840531,244.5021699665798,177.79258876188572,1004832.368018734,153599289.91994774,7.981893325057684e-09
69,0.30367655002743577,185206048.80718058,123.8307217082797,206.30819775369315,150.0218368725878,952035.3502068658,153652175.93536025,5.986419993793263e-09
70,0.22757590504662542,185206048.88309973,104.48235294883494,174.07969858218857,126.5879678747172,902003.2374302039,153702283.13497448,4.489814995344947e-09
71,0.1705459066665227,185206048.9399937,88.15712132269793,146.88514158489687,106.81390858290574,854592.6768125516,153749757.04647005,3.3673612465087103e-09
72,0.12780749471147745,185206048.9826302,74.3826730513148,123.9384063953442,90.12823968767708,809667.5218293403,153794735.651044,2.5255209348815328e-09
73,0.09577923049401904,185206049.01458207,62.76045677758645,104.57609746077608,76.04872144267459,767098.505852903,153837349.76309216,1.8941407011611495e-09
74,0.071777175624448,185206049.03852686,52.95419265333463,88.23839446707994,64.16838508653132,726762.924642419,153877723.39260817,1.420605525870862e-09
75,0.05378998050046527,185206049.05647117,44.68014295246896,74.4528884523935,54.14379116003565,688544.3285906244,153915974.0907968,1.0654541444031466e-09
76,0.04031033510400382,185206049.06991866,37.698902766417035,62.82093867561839,45.6851176931162,652332.2252972241,153952213.27943328,7.9909060830236e-10
77,0.030208657840711202,185206049.07999626,31.808473302651663,53.006157563966454,38.5477935154627,618021.7928404273,153986546.5645265,5.9931795622677e-10
78,0.022638437665742007,185206049.08754843,26.838417404827133,44.724692126514164,32.52543614872296,585513.6039561098,154019074.03485975,4.494884671700775e-10
79,0.01696529725511369,185206049.09320804,22.644928216317087,37.73702181438986,27.44389110599002,554713.36120281,154049890.54599074,3.371163503775581e-10
80,0.012713832783165888,185206049.09744936,19.106668322675713,31.841036394591942,23.156201006592475,525531.6430850571,154079085.99029535,2.5283726278316857e-10
81,0.009527775529519918,185206049.1006278,16.121258996315486,26.866194221362036,19.538359601944222,497883.661023189,154106745.5536362,1.896279470873764e-10
82,0.007140136895705944,185206049.10300976,13.602317972892624,22.668592384195822,16.48572835631262,471689.0269912432,154132949.9592299,1.4222096031553232e-10
83,0.005350835011956895,185206049.1047948,11.476960057287975,19.12680647141134,13.910012274205265,446871.5315927243,154157775.6992776,1.0666572023664924e-10
84,0.0040099280648810244,185206049.1061325,9.683688246530815,16.13837986250975,11.736707754955468,423358.9323045075,154181295.25490966,7.999929017748693e-11
85,0.0030050493146563887,185206049.107135,8.17061435474438,13.616861185402753,9.902948843105172,401082.7515897267,154203577.3049808,5.99994676331152e-11
86,0.0022519908680169215,185206049.10788625,6.893957657933546,11.489304381980874,8.355689717903275,379978.0845594258,154224686.9242368,4.49996007248364e-11
87,0.0016876471360708775,185206049.10844925,5.816778119896371,9.694159170537773,7.050170954446855,359983.41584852553,154244685.77135557,3.37497005436273e-11
88,0.0012647266453599286,185206049.10887116,4.907907547369256,8.179490959137137,5.948625269857871,341040.44536302774,154263632.26734847,2.5312275407720474e-11
89,0.0009477890569040148,185206049.10918733,4.141047749019926,6.901478773629299,5.01918537471322,323093.9225512928,154281581.76478902,1.8984206555790357e-11
90,0.0007102752991586996,185206049.1094243,3.4940096047290816,5.823147791006338,4.2349623807639345,306091.48885180685,154298586.70831814,1.4238154916842768e-11
91,0.0005322819428227175,185206049.10960186,2.948071028521709,4.913299843993673,3.573268138133552,289983.5279723758,154314696.78685632,1.0678616187632076e-11
92,0.000398893312199813,185206049.10973492,2.4874352484601094,4.145610981201772,3.014959030065194,274723.02366053034,154329959.0779353,8.008962140724057e-12
93,0.00029893156561715793,185206049.10983464,2.09877372930675,3.4978699934732207,2.54388226033304,260265.4246315964,154344418.1845435,6.006721605543042e-12
94,0.00022402000281609907,185206049.1099094,1.7708405127739673,2.951335890309095,2.146408628534825,246568.51632895833,154358116.364862,4.5050412041572816e-12
95,0.00016788110535639113,185206049.10996538,1.4941468165497906,2.490195747852754,1.8110382868446864,233592.29920016954,154371093.65525112,3.378780903117961e-12
96,0.00012581048648062184,185206049.11000735,1.2606864768064225,2.10110725097547,1.5280680803855318,221298.87318246195,154383387.98682994,2.5340856773384708e-12
97,9.428266793269691e-05,185206049.1100388,1.0637042900023468,1.7728127002326062,1.2893108529366333,209652.32810163574,154395035.29597625,1.900564258003853e-12
98,7.065564819889931e-05,185206049.11006236,0.8975005510422307,1.4958133204873212,1.0878586015264682,198618.63969908137,154406069.6290578,1.4254231935028897e-12
99,5.2949505268245996e-05,185206049.11008003,0.7572661321727631,1.2620944514658394,0.9178826308850644,188165.571012641,154416523.2416912,1.0690673951271672e-12
100,3.968048103188567e-05,185206049.11009327,0.6389433306686881,1.0648936717513737,0.774464928308992,178262.57884802797,154426426.69281036,8.018005463453754e-13
101,2.9736643750401494e-05,185206049.1101032,0.5391084589687292,0.8985051492305128,0.6534558820923395,168880.72508849067,154435808.9338123,6.013504097590315e-13
102,2.2284709220831506e-05,185206049.1101106,0.4548727800284572,0.7581145586367486,0.551354228353798,159992.592601248,154444697.3930349,4.5101280731927364e-13
103,1.670021234492234e-05,185206049.11011618,0.38379892146858147,0.6396597908570079,0.46520575383608614,151572.20550987544,154453118.05580896,3.3825960548945523e-13
104,1.2515177541773195e-05,185206049.11012036,0.32383034997083254,0.5397134246222217,0.392517824632295,143594.95361223258,154461095.54031366,2.536947041170914e-13
105,9.378902834713178e-06,185206049.1101235,0.2732318652682116,0.4553835606496089,0.33118726847170293,136037.52073365898,154468653.16945428,1.9027102808781857e-13
106,7.028571355810575e-06,185206049.11012584,0.23053939192582373,0.3842301494353647,0.2794395243982537,128877.81681499537,154475813.03896892,1.4270327106586394e-13
107,5.267227539758564e-06,185206049.1101276,0.1945176161383909,0.3241943920649335,0.23577729955796803,122094.91354449466,154482596.08196095,1.0702745329939795e-13
108,3.947272432918409e-06,185206049.1101289,0.16412424176498921,0.2735391715703237,0.19893724779521738,115668.98335185525,154489022.13004357,8.027058997454847e-14
109,2.9580950399556514e-06,185206049.1101299,0.1384798313484944,0.23079879145352233,0.1678534167901896,109581.24159143414,154495109.9712736,6.020294248091135e-14
110,2.216803226561357e-06,185206049.11013064,0.11684235946834555,0.19473656723834398,0.1416264062584754,103813.89175017232,154500877.40504232,4.515220686068352e-14
111,1.661277436632502e-06,185206049.1101312,0.09858574212639984,0.16430904409568697,0.11949734493882369,98350.0735238927,154506341.29408234,3.3864155145512636e-14
112,1.2449651319505012e-06,185206049.11013162,0.08318172091209539,0.1386358052790152,0.10082593349333359,93173.81361341292,154511517.6137419,2.5398116359134477e-14
113,9.329797333035091e-07,185206049.11013192,0.07018457776369615,0.11697399785177631,0.08507191806642059,88269.97909935794,154516421.49866924,1.9048587269350858e-14
114,6.991771579910363e-07,185206049.11013216,0.05921823804576061,0.09869683866440976,0.07177945849615437,83624.23326166655,154521067.28704312,1.4286440452013145e-14
115,5.23964970305946e-07,185206049.11013234,0.0499653887690087,0.08327547869295741,0.060563938914179626,79222.99371657125,154525468.56247813,1.0714830339009859e-14
116,3.9266055386670763e-07,185206049.11013246,0.042158297087024954,0.07026370101487567,0.051100839130329166,75053.39275030012,154529638.1937265,8.036122754257394e-15
117,2.942607221869846e-07,185206049.11013255,0.035571063401870516,0.0592850096810044,0.043116344818883504,71103.23973491442,154533588.3722924,6.027092065693045e-15
118,2.2051966200658728e-07,185206049.1101326,0.030013084921207883,0.05002173591729557,0.03637942482969285,67360.98551756502,154537330.64806798,4.520319049269784e-15
119,1.6525794190295913e-07,185206049.11013266,0.025323540534073753,0.04220584645691041,0.030695146394170317,63815.688680037165,154540875.96309528,3.3902392869523382e-15
120,1.2384468175534395e-07,185206049.1101327,0.0213667374243994,0.03561118805113183,0.02589903481131276,60456.9835707663,154544234.68355218,2.5426794652142537e-15
121,9.280948935022279e-08,185206049.11013272,0.01802818477585896,0.030046943760911278,0.021852314418439336,57275.050016559166,154547416.63005593,1.9070095989106902e-15
122,6.955164478088246e-08,185206049.11013275,0.015211280960103228,0.02535211169191142,0.018437893149447486,54260.584626055366,154550431.10637262,1.4302571991830176e-15
123,5.212216256757631e-08,185206049.11013278,0.012834518351658117,0.021390846418949696,0.015556974497701598,51404.77360152535,154553286.92661613,1.0726928993872633e-15
