time, Susceptible, Socially_distanced, Border_closed, Exposed, Infectious, Hospitalized, Isolation_treated, Recovered, R0SD, R0BC
0,133990732.85000001,51534897.25,0.0,14429771.23,4122791.7800000003,1442977.123,618418.767,0.0,2.5,2.5
1,27457288.589011714,152027946.8875,6029582.978250001,12185931.1205508,5346745.5896875,1752186.5065000001,1307358.9723421051,106555180.9719079,0.625,1.375
2,5626528.645859797,172620913.32925877,7265160.964755528,10284094.89785234,5914110.9298516875,2212779.650671875,2114643.858626731,128452533.76713759,0.15625,0.75625
3,1152984.3706180882,176840809.81365362,7518354.753819219,8677659.071846083,6042473.025178194,2584917.5577988597,3109736.638771788,133036921.08578701,0.0390625,0.4159375
4,236268.76224433503,177705548.0916172,7570239.050497033,7321867.875602505,5887738.9988595955,2803077.0351939783,4238525.068262177,134117214.00983743,0.009765625,0.22876562500000003
5,48416.03185179757,177882749.66330045,7580871.144798027,6177845.084447905,5559846.1047075875,2873473.267311888,5416983.319108525,134528127.94257233,0.00244140625,0.12582109375
6,9921.379864216397,177919061.6871893,7583049.866231359,5212560.696668322,5135172.872975675,2826698.159832841,6568615.567548231,134851723.07311073,0.0006103515625,0.0692016015625
7,2033.0823209838072,177926502.72208747,7583496.328325248,4398098.888365078,4665842.263586182,2697142.2981603392,7636248.038646324,135205327.1789211,0.000152587890625,0.03806088085937501
8,416.61782740574154,177928027.5338282,7583587.817029692,3710896.1011064304,4186584.64899668,2515031.714976715,8582911.396218792,135608851.270874,3.814697265625e-05,0.020933484472656253
9,85.37303793399258,177928339.99719876,7583606.564831926,3131068.618925235,3719766.00254539,2304162.0197375277,9388695.074958792,136060914.66079515,9.5367431640625e-06,0.01151341645996094
10,17.494584068724095,177928404.0269772,7583610.406618632,2641839.1541068745,3279053.97361611,2082022.5105051114,10046634.238777094,136555124.3784108,2.384185791015625e-06,0.0063323790529785165
11,3.5849781048472273,177928417.14791527,7583611.193874915,2229051.7876893044,2872077.8480412816,1860774.7486565833,10558875.270936118,137083908.50969866,5.960464477539062e-07,0.003482808479138184
12,0.7346312414028904,177928419.83664885,7583611.35519893,1880762.4461521208,2502347.727857415,1648406.836338612,10933532.36784672,137639641.63717395,1.4901161193847656e-07,0.0019155446635260014
13,0.15054012746003942,177928420.3876223,7583611.388257336,1586893.314000129,2170629.9281043303,1449790.3501336598,11182286.714024093,138215091.29319772,3.725290298461914e-08,0.0010535495649393008
14,0.030848579121693392,177928420.50052738,7583611.395031641,1338941.2336997557,1875924.526390768,1267552.6570929126,11318640.483089656,138803632.81887838,9.313225746154785e-09,0.0005794522607166154
15,0.006321469563522104,177928420.52366382,7583611.396419827,1129731.6659366582,1616152.9625586628,1102757.4601441482,11356698.891473498,139399350.76356563,2.3283064365386963e-09,0.00031869874339413853
16,0.001295391184303686,177928420.52840492,7583611.396704293,953211.0931345654,1388635.2947216,955416.9707117397,11310356.627257494,139997071.76287928,5.820766091346741e-10,0.0001752843088667762
17,0.0002654506683152898,177928420.52937648,7583611.396762585,804271.859832394,1190415.7043434759,824867.3090362698,11192783.18486297,140592353.6916595,1.4551915228366852e-10,9.640636987672691e-05
18,5.4395967922933397e-05,177928420.52957556,7583611.39677453,678604.3817336039,1018479.2563564185,710037.5806040039,11016122.987546211,141181447.54370543,3.637978807091713e-11,5.302350343219981e-05
19,1.114678424074763e-05,177928420.52961636,7583611.396776978,572572.4470877327,869891.3769131894,609638.6043911065,10791345.831135254,141761243.49046165,9.094947017729282e-12,2.9162926887709898e-05
20,2.2841913409062698e-06,177928420.52962473,7583611.39677748,483108.0022302754,741882.9775423503,522292.1464238506,10528199.563271057,142329209.06053025,2.2737367544323206e-12,1.6039609788240444e-05
21,4.680749146285832e-07,177928420.52962643,7583611.396777582,407622.37688179506,631897.8585052432,446616.81759751285,10235229.869995032,142883324.82702002,5.684341886080801e-13,8.821785383532246e-06
22,9.59175887680356e-08,177928420.5296268,7583611.396777604,343931.3804940146,537614.3902667129,381282.8734250672,9919841.96984668,143422021.1359675,1.4210854715202004e-13,4.851981960942735e-06
23,1.9655366155168393e-08,177928420.52962685,7583611.396777608,290192.1022918248,456950.0709022244,325045.03427921183,9588386.46077781,143944118.08174896,3.552713678800501e-14,2.6685900785185044e-06
24,4.027764080142144e-09,177928420.52962685,7583611.396777609,244849.5863087272,388055.06915976596,276760.034865162,9246257.05892911,144448770.00073728,8.881784197001252e-15,1.4677245431851776e-06
25,8.253666381593949e-10,177928420.52962685,7583611.396777609,206591.83844798856,329299.04973056307,235393.78472252248,8897991.967997001,144935415.10910198,2.220446049250313e-15,8.072484987518478e-07
26,1.6913356240132626e-10,177928420.52962685,7583611.396777609,174311.86369049034,279254.2620554205,200021.654793902,8547373.493621578,145403730.47583866,5.551115123125783e-16,4.439866743135163e-07
27,3.4658732989688494e-11,177928420.52962685,7583611.396777609,147075.63498885123,236676.9252432045,169824.3929108061,8197522.558196342,145853592.23866084,1.3877787807814457e-16,2.44192670872434e-07
28,7.102243667050572e-12,177928420.52962685,7583611.396777609,124095.06702184322,200488.2618994114,144081.42776620417,7850986.1989572,146285040.7943554,3.469446951953614e-17,1.343059689798387e-07
29,1.4553868752549947e-12,177928420.52962685,7583611.396777609,104705.21279968022,169756.05064672156,122162.77935795493,7509817.112895187,146698250.5943005,8.673617379884035e-18,7.386828293891129e-08
30,2.98236874988003e-13,177928420.52962685,7583611.396777609,88345.02329973018,143677.2274849912,103520.40234065786,7175644.970316523,147093504.12655815,2.168404344971009e-18,4.062755561640121e-08
31,6.111449478821628e-14,177928420.52962685,7583611.396777609,74541.11340914734,121561.83050432624,87679.50804157673,6849739.64673335,147471169.65131167,5.421010862427522e-19,2.2345155589020666e-08
32,1.2523540133557124e-14,177928420.52962685,7583611.396777609,62894.06443896807,102818.42184842395,74230.21164686992,6533066.787768173,147831682.26429763,1.3552527156068805e-19,1.2289835573961367e-08
33,2.5663152091876038e-15,177928420.52962685,7583611.396777609,53066.86687037931,86941.01395490672,62819.71128554095,6226336.273182757,148175527.8847065,3.3881317890172014e-20,6.759409565678752e-09
34,5.258875431923872e-16,177928420.52962685,7583611.396777609,44775.16892188254,73497.4584146768,53145.109131497156,5930044.219710646,148503229.79382136,8.470329472543003e-21,3.7176752611233137e-09
35,1.0776451275152295e-16,177928420.52962685,7583611.396777609,37779.0487778384,62119.213955051746,44946.91916941778,5644509.183765308,148815337.38433245,2.117582368135751e-21,2.0447213936178226e-09
36,2.2083029649410544e-17,177928420.52962685,7583611.396777609,31876.072406301148,52492.38683782606,38003.263073471826,5369903.212625527,149112416.81505695,5.293955920339377e-22,1.1245967664898025e-09
37,4.525239209508264e-18,177928420.52962685,7583611.396777609,26895.43609281659,44349.9264418541,32124.728246192426,5106278.359287235,149395043.29993197,1.3234889800848443e-22,6.185282215693914e-10
38,9.273088986599983e-19,177928420.52962685,7583611.396777609,22693.024203314,37464.85672089316,27149.845733559738,4853589.2308162665,149663794.79252604,3.3087224502121107e-23,3.401905218631653e-10
39,1.900235001339212e-19,177928420.52962685,7583611.396777609,19147.239171546185,31644.427572437686,22941.13704700316,4611712.088903243,149919246.85730585,8.271806125530277e-24,1.8710478702474093e-10
40,3.8939484626239775e-20,177928420.52962685,7583611.396777609,16155.483050992094,26725.076799882358,19381.675416611004,4380460.9685371,150161968.5461955,2.0679515313825692e-24,1.0290763286360751e-10
41,7.979452340834402e-21,177928420.52962685,7583611.396777609,13631.188824274579,22568.10182662928,16372.106908276091,4159601.228953979,150392519.12348694,5.169878828456423e-25,5.659919807498414e-11
42,1.6351438718513964e-21,177928420.52962685,7583611.396777609,11501.315570481676,19055.949623764864,13828.078910795366,3948860.901936855,150611445.5039582,1.2924697071141057e-25,3.1129558941241274e-11
43,3.3507255478808866e-22,177928420.52962685,7583611.396777609,9704.235012593914,16089.042775711408,11678.026861338898,3747940.157079787,150819280.28827065,3.2311742677852644e-26,1.71212574176827e-11
44,6.866283689464858e-23,177928420.52962685,7583611.396777609,8187.948291876115,13583.068802501355,9861.274124597301,3556519.1622430994,151016540.296538,8.077935669463161e-27,9.416691579725486e-12
45,1.407034119342535e-23,177928420.52962685,7583611.396777609,6908.581371270472,11466.66852248166,8326.404262923988,3374264.5802399716,151203725.51560342,2.0194839173657902e-27,5.1791803688490175e-12
46,2.8832846158564702e-24,177928420.52962685,7583611.396777609,5829.11553200946,9679.467231122257,7029.8692620824095,3200834.9097272246,151381318.38824764,5.048709793414476e-28,2.8485492028669595e-12
47,5.908406954565652e-25,177928420.52962685,7583611.396777609,4918.316230132982,8170.399725218171,5934.801438821769,3035884.8491094643,151549783.38349643,1.262177448353619e-28,1.5667020615768278e-12
48,1.2107466792829982e-25,177928420.52962685,7583611.396777609,4149.829319174703,6896.286704871906,5010.000650715427,2879068.836717851,151709566.79660746,3.155443620884047e-29,8.616861338672553e-13
49,2.481053747088366e-26,177928420.52962685,7583611.396777609,3501.418488053656,5820.625859774977,4229.07200157569,2730043.898268585,151861096.73538208,7.888609052210118e-30,4.739273736269904e-13
50,5.084158231667895e-27,177928420.52962685,7583611.396777609,2954.321849295272,4912.566033589616,3569.692465731589,2588471.9133078684,152004783.25634357,1.9721522630525295e-30,2.6066005549484474e-13
51,1.0418421993062845e-27,177928420.52962685,7583611.396777609,2492.7090603428856,4146.037314144599,3012.9877412631986,2454021.3956824252,152141018.6202019,4.930380657631324e-31,1.433630305221646e-13
52,2.1349358513164746e-28,177928420.52962685,7583611.396777609,2103.2232696643096,3499.013776287025,2543.003199167749,2326368.868727666,152270177.64102727,1.232595164407831e-31,7.884966678719054e-14
53,4.374895826135024e-29,177928420.52962685,7583611.396777609,1774.5946337792611,2952.888968100317,2146.2550436556307,2205199.9035521094,152392618.10780242,3.0814879110195774e-32,4.336731673295479e-14
54,8.96500636200917e-30,177928420.52962685,7583611.396777609,1497.3142222512515,2491.9471376032475,1811.3497638528947,2090209.8782554052,152508681.26062095,7.703719777548943e-33,2.3852024203125138e-14
55,1.8371029223310337e-30,177928420.52962685,7583611.396777609,1263.3588750244935,2102.9157004291937,1528.6616663272594,1981104.506913363,152618692.30684492,1.925929944387236e-33,1.3118613311718826e-14
