time, S,E, I, J, Q, R
0,185525630.1,14429771.23,4122791.7800000003,1442977.123,618418.767,0.0
1,185453126.68375692,12247622.891555581,5346745.5896875,1752186.5065000001,1307358.9723421051,32548.356157894734
2,185380651.6018489,10406406.896658033,5923750.269071184,2212779.650671875,2114643.858626731,101356.72312326869
3,185308204.8432029,8852852.577701218,6068813.779406206,2587327.3926037336,3109736.638771788,212653.7683141493
4,185235786.39675015,7542012.808888126,5934868.54982047,2810867.1411534185,4239729.985664614,376324.1177231908
5,185163396.2514263,6435963.452823207,5629590.913754122,2889150.7080318267,5422019.872785291,599467.8011792231
6,185091034.39617124,5502706.018574638,5227812.474819218,2851973.082454444,6581225.759812504,884837.2681679226
7,185018700.8199292,4715241.779414374,4780657.171516701,2732939.6599320266,7660831.9978917,1231217.571315949
8,184946395.51164877,4050790.5596613064,4322249.406671021,2561634.1228451887,8624100.14375815,1634419.2554155122
9,184874118.46028283,3490131.5860801795,3874623.0799503447,2361379.4130903496,9451017.197614526,2088319.2629817305
10,184801869.65478855,3017047.33124943,3451300.3702877867,2149345.476532761,10134284.946390515,2585741.2207509163
11,184729649.08412746,2617854.256402798,3059888.9232235635,1937497.8308383273,10675574.266425816,3119124.638981996
12,184657456.73726538,2281006.875701938,2703956.41998061,1733721.1462250545,11082450.852033095,3680996.968793881
13,184585292.60317245,1996763.6854664334,2384374.639313885,1542849.6781076798,11366024.538196512,4264283.855742991
14,184513156.67082313,1756905.291961623,2100275.305339544,1367518.4988823112,11539237.559450535,4862495.673542807
15,184441048.92919618,1554496.5817195768,1849722.9308736618,1208828.0757760415,11615668.516289031,5469823.966145467
16,184368969.36727464,1383686.0527474228,1630182.2890489302,1066844.7706064363,11608731.579635523,6081174.940686995
17,184296917.9740459,1239536.500234369,1438837.6625284825,940967.9575654507,11531168.092326345,6692160.813299391
18,184224894.73850164,1117882.157617006,1272805.825057982,830193.394414846,11394748.48730242,7299064.397106041
19,184152899.64963782,1015208.1593531552,1129273.4559211438,733298.1534719185,11210121.57991498,7898788.001700905
20,184080932.69645473,928548.8376373032,1005581.3668397884,648967.4407162452,10986764.257708045,8488794.4006438
21,184008993.86795697,855401.910254249,899271.7810106699,575879.0620680697,10732997.22766048,9067045.151049485
22,183937083.15315336,793656.0765806201,808110.3842352289,512757.4762867023,10456042.167765018,9631939.741978984
23,183865200.5410571,741529.9267111506,730091.5501421436,458406.3342021584,10162102.897078631,10182257.750808721
24,183793346.02068567,697520.3960339784,663432.713655225,411726.0546366151,9856458.543280836,10717105.271707596
25,183721519.5810608,660359.2737785532,606562.0971217279,371721.2057321138,9543560.594636995,11235866.247669745
26,183649721.21120852,628976.5071029329,558102.7093691948,337501.12714648887,9227128.53462742,11738158.910545377
27,183577950.90015918,602469.23891744,516854.6112617294,308276.24091554317,8910240.754272906,12223797.254473137
28,183506208.6369474,580075.6835483721,481776.777027147,283351.77327320393,8595418.835032104,12692757.294171711
29,183434494.41061208,561153.0843292581,451969.4083247934,262120.08089338872,8284704.256667016,13145147.7591734
30,183362808.2101964,545159.1153184787,426657.22567004163,244052.39252789272,7979727.2309733415,13581184.82531377
31,183291150.02474785,531636.1889985112,405174.03102104354,228690.50268145677,7681767.783501849,14001170.469049208
32,183219519.84331816,520198.21589716524,386948.67779680004,215638.75909598928,7391809.467289848,14405474.036601936
33,183147917.6549634,510519.4330180019,371492.47958153207,204556.54899719465,7110586.243296272,14794516.640143508
34,183076343.44874385,502324.9778284988,358388.02109521185,195151.39439398033,6838623.13656875,15168758.021369629
35,183004797.21372408,495382.93506256497,347279.29360711185,187172.70247079313,6576271.3002621215,15528685.554873247
36,182933278.93897295,489497.62621016253,337863.05380885967,180406.17463717452,6323738.109378459,15874805.096992306
37,182861788.6135636,484503.9475241753,329881.29445198266,174668.85077080218,6081112.875150812,16207633.41853854
38,182790326.2265734,480262.5927137036,323114.7126396394,169804.74899839674,5848388.728159854,16527691.9909149
39,182718891.76708406,476656.0220915323,317377.0645912457,165681.05265910822,5625481.169598008,16835501.923975945
40,182647485.22418147,473585.06154230685,312510.30189523625,162184.79247736552,5412243.73963293,17131579.880270578
41,182576106.58695588,470966.03290193155,308380.39228741266,159219.97171249182,5208481.2022067215,17416434.81393547
42,182504755.8445017,468728.3327151871,304873.7368564863,156705.08392809908,5013960.59847314,17690565.403525297
43,182433432.9859177,466812.3893124704,301894.1046291127,154570.9761781711,4828420.477359656,17954458.06660283
44,182362138.0003068,465167.9390932935,299360.014301908,152759.01424636372,4651578.571903497,18208585.460148074
45,182290870.87677628,463752.57214048627,297202.5012097581,151219.51069865888,4483138.154189653,18453405.3849851
46,182219631.60443762,462530.50508217944,295363.2153042696,149910.38065176897,4322793.26984479,18689360.024679292
47,182148420.1724066,461471.5456941031,293792.8028972927,148795.99415195186,4170233.0249156854,18916875.45993428
48,182077236.56980324,460550.219282776,292449.53118767316,147846.1978002991,4025145.0733118886,19136361.40861405
49,182006080.78575176,459745.03157132136,291298.1201536886,147035.48169706785,3887218.4315114124,19348211.149314675
50,181934952.80938068,459037.8467593742,290308.75129828544,146342.27088695607,3756145.7285961877,19552801.593078434
51,181863852.62982276,458413.36276112794,289456.2270298663,145748.3232680494,3631624.9835872347,19750493.473530866
52,181792780.23621503,457858.66843743646,288719.258203826,145238.21839149127,3513360.9881903525,19941631.630561773
53,181721735.6176987,457362.87001039984,288079.8605962189,144798.92374670214,3401066.3611655533,20126545.36678232
54,181650718.7634193,456916.7758506715,287522.84388628916,144419.42702240578,3294462.3303459804,20305548.859475244
55,181579729.66252655,456512.63051674835,287035.37914138427,144090.42448277518,3193279.2896284475,20478941.61370398
56,181508768.30417442,456143.8903506218,286606.6328742801,143804.05702673364,3097257.170836759,20647008.944737058
57,181437834.67752114,455805.0341366085,286227.4575229947,143553.68673193685,3006145.664042928,20810022.480044257
58,181366928.77172917,455491.40334473865,285890.1297260911,143333.7077467171,2919704.3145645317,20968240.67288862
59,181296050.57596517,455199.067336115,285588.12906718376,143139.3863048813,2837702.520302915,21121909.3210236
60,181225200.0794001,454924.7096299342,285315.9510716558,142966.72541923658,2759919.4492288865,21271262.08525007
61,181154377.27120906,454665.5319412866,285068.94918341906,142812.35047753225,2686143.893558037,21416521.003630538
62,181083582.14057148,454419.1732130491,284843.2012533903,142673.4125346209,2616174.0743990117,21557896.99802833
63,181012814.67667094,454183.6412990455,284635.3967545816,142547.50658065802,2549817.408329532,21695590.37036512
64,180942074.8686953,453957.2553217127,284442.7415189121,142432.6024789744,2486890.245391991,21829791.28659299
65,180871362.7058366,453738.5970363812,284262.87728320167,142326.98661921523,2427217.5863476894,21960680.24687678
66,180800678.17729115,453526.4697948876,284093.8137493358,142229.21263040803,2370632.7856389973,22088428.54089508
67,180730021.27225947,453319.8639211218,283933.87121745304,142138.05975253799,2316977.2453416227,22213198.687507655
68,180659391.9799463,453117.92749664554,283781.63215076504,142052.49768063225,2266100.104410438,22335144.85831511
69,180588790.28956053,452919.9417110577,283635.90028442466,141971.6568780074,2217857.926702836,22454413.28486303
70,180518216.19031537,452725.30006386514,283495.66610567126,141894.80351010986,2172114.3905785326,22571142.649426337
71,180447669.6714282,452533.49081606144,283360.0777142324,141821.31828147275,2128739.9823031384,22685464.459456787
72,180377150.7221206,452344.082183646,283228.4162256839,141750.67856929445,2087611.6950068674,22797503.405893795
73,180306659.3316184,452156.70984465606,283100.0750104576,141682.4433410682,2048612.734554311,22907377.705631
74,180236195.4891516,451971.066398225,282974.5421710707,141616.2404231485,2011632.2333535657,23015199.42850228
75,180165759.18395445,451786.89247066283,282851.38575302565,141551.75575434192,1976564.9728623207,23121074.8092051
76,180095350.40526536,451603.9692112112,282730.2412633103,141488.72431542736,1943311.1153256854,23225104.544618905
77,180024969.14232698,451422.11196033715,282610.8011367345,141426.92247354126,1911775.9450978367,23327384.077004466
78,179954615.38438615,451241.16490735585,282492.8058463535,141366.16152095425,1881869.6197505107,23428003.863588564
79,179884289.12069392,451060.9965827996,282376.0364015395,141306.2822220655,1853506.9310504347,23527049.633049116
80,179813990.34050554,450881.49605510436,282260.3080172171,141247.15021141764,1826607.075790392,23624602.62942019
81,179743719.03308046,450702.56972156384,282145.4647715229,141188.6521100131,1801093.436380817,23720739.843935475
82,179673475.18768233,450524.13860069733,282031.37509763654,141130.69224788726,1776893.3710473597,23815534.23532394
83,179603258.79357898,450346.13604768465,281917.92797958635,141073.18989835278,1753938.0134319686,23909054.939063273
84,179533069.84004244,450168.50582676457,281805.0297421405,141016.07694407296,1732162.08135841,24001367.466086008
85,179462908.31634894,449991.2004848212,281692.6013420373,140959.29590757162,1711503.6944957932,24092533.891420662
86,179392774.2117789,449814.1799790971,281580.5760822813,140902.79828929514,1691904.200634011,24182613.03323623
87,179322667.51561695,449637.4105193264,281468.8976834449,140846.5431652179,1673308.0102716053,24271660.622743286
88,179252588.21715185,449460.8635907848,281357.51865622844,140790.49600347018,1655662.4392083404,24359729.46538916
89,179182536.30567658,449284.5151299876,281246.39892823144,140734.62766579218,1638917.5588306892,24446869.593768544
90,179112511.77048832,449108.34482918546,281135.50468523416,140678.91356495395,1623026.0537777594,24533128.41265437
91,179042514.6008884,448932.3355495321,281024.80739348585,140623.33295378552,1607943.0866771964,24618550.83653741
92,178972544.78618237,448756.4728259449,280914.2829747288,140567.86832526422,1593626.169644763,24703179.420046736
93,178902602.31567994,448580.7444493311,280803.91111010045,140512.5049063143,1580035.0422471445,24787054.481606986
94,178832687.17869496,448405.1401140908,280693.6746527833,140457.23023068227,1567131.5556346625,24870214.220672626
95,178762799.36454552,448229.65112069814,280583.5591324142,140402.03377853695,1554879.5625587057,24952694.828863923
96,178692938.86255386,448054.2701247535,280473.5523369197,140346.90667237202,1543244.812997516,25034530.59531438
97,178623105.66204637,447878.9909252468,280363.6439596825,140291.84142041593,1532194.8551233064,25115754.006524775
98,178553299.75235364,447703.8082859047,280253.8253018317,140236.8317001286,1521698.9413533404,25196395.84100495
99,178483521.12281042,447528.7177844519,280144.0890210464,140181.8721755222,1511727.9392374395,25276485.258970913
100,178413769.76275563,447353.7156854256,280034.42891960545,140126.9583430227,1502254.2469442827,25356049.88735183
101,178344045.66153234,447178.79883286275,279924.83976555185,140072.08640141273,1493251.7131187266,25435115.900348898
102,178274348.8084878,447003.9645597548,279815.3171417987,140017.25314209433,1484695.5608921316,25513708.0957762
103,178204679.19297343,446829.21061165014,279705.8573188107,139962.45585649682,1476562.315837277,25591849.9674021
104,178135036.80434483,446654.5350821938,279596.45714717836,139907.69225795107,1468829.7376688267,25669563.7734988
105,178065421.6319617,446479.936358739,279487.1139669765,139852.96041577013,1461476.755499443,25746870.60179716
106,177995833.66518793,446305.41307645664,279377.8255312854,139798.2586996292,1454483.4064705153,25823790.431033973
107,177926272.89339158,446130.9640796157,279268.5899416604,139743.58573263593,1447830.7775850396,25900342.189269263
108,177856739.30594483,445956.5883889132,279159.4055936853,139688.94035173306,1441500.9505784607,25976543.80914216
109,177787232.89222407,445782.28517390875,279050.2711310317,139634.32157428784,1435476.9496712503,26052412.28022524
110,177717753.6416098,445608.0537297667,278941.185406697,139579.72856990184,1429742.6920546442,26127963.698628988
111,177648301.54348665,445433.89345763176,278832.14745029877,139525.16063662517,1424282.9409682981,26203213.314000286
112,177578876.58724347,445259.8038480714,278723.15644047904,139470.61718088726,1419083.2612356476,26278175.57405125
113,177509478.76227316,445085.78446710494,278614.21168162045,139416.09770056338,1414129.9771294782,26352864.166747864
114,177440108.05797288,444911.8349444161,278505.31258420047,139361.6017706868,1409410.1324466295,26427292.060280994
115,177370764.46374384,444737.9549634069,278396.4586482154,139307.1290313935,1404911.4526768872,26501471.54093608
116,177301447.9689914,444564.1442528057,278287.64944919385,139252.6791777506,1400622.3091569582,26575414.248971704
117,177232158.5631251,444390.4025795866,278178.8846263963,139198.25195117376,1396531.6851059936,26649131.212611545
118,177162896.23555863,444216.72974299546,278070.16387285764,139143.84713218594,1392629.1434444229,26722632.880248703
119,177093660.97570977,444043.12556950876,277961.48692698625,139089.46453430736,1388904.7963029146,26795929.150956303
120,177024452.77300045,443869.5899085804,277852.85356547544,139035.10399890025,1385349.2761330728,26869029.4033933
121,176955271.61685675,443696.1226290533,277744.2635973223,138980.765390819,1381953.7083360455,26941942.523189776
122,176886117.4967089,443522.72361613135,277635.7168587813,138926.44859474007,1378709.6853295579,27014676.928891674
123,176816990.4019912,443349.39276882465,277527.21320910647,138872.15351206536,1375609.2419780039,27087240.596540596
124,176747890.3221421,443176.12999779393,277418.7525269587,138817.8800583093,1372644.8323141416,27159641.08296049
125,176678817.2466042,443002.9352235318,277310.33470737434,138763.62816089432,1369809.3074846573,27231885.54781913
126,176609771.16482422,442829.80837482784,277201.9596592076,138709.39775729075,1367095.8948553856,27303980.77452885
127,176540752.066253,442656.7493874743,277093.62730297254,138655.18879344728,1364498.1782153265,27375933.190047555
128,176471759.94034553,442483.7582031731,276985.33756902226,138601.00122246676,1362010.0790217698,27447748.883637834
129,176402794.77656084,442310.8347686143,276877.0903960125,138546.83500348893,1359625.8386318574,27519433.62463898
130,176333856.56436217,442137.97903469834,276768.8857296054,138492.6901007476,1357340.0014687672,27590992.879303813
131,176264945.29321682,441965.19095587946,276660.7235213757,138438.56648277515,1355147.3990734164,27662431.826749537
132,176196060.95259625,441792.47048961243,276552.6037278879,138384.4641217315,1353043.1349951504,27733755.37406919
133,176127203.53197598,441619.81759588514,276444.52630991786,138330.38299283772,1351022.570477324,27804968.170647882
134,176058373.0208357,441447.2322368243,276336.49123179546,138276.32307389833,1349081.310895989,27876074.621725637
135,175989569.40865916,441274.7143763631,276228.4984608504,138222.284344898,1347215.1929120966,27947078.90124648
136,175920792.68493426,441102.26397996035,276120.5479669445,138168.2667876616,1345420.2722996986,28017984.964031328
137,175852042.839153,440929.88101436384,276012.6397220772,138114.27038556692,1343692.812414598,28088796.55731026
138,175783319.86081144,440757.56544741045,275904.77370005223,138060.29512330276,1342029.273269771,28159517.23164787
139,175714623.73940983,440585.3172478577,275796.94987619703,138006.34098666444,1340426.301185645,28230150.35129365
140,175645954.46445248,440413.1363852413,275689.16822712554,137952.4079623815,1338880.7189849957,28300699.10398763
141,175577312.02544776,440241.0228297553,275581.4287305381,137898.49603797213,1337389.5167038182,28371166.51025
142,175508696.4119082,440068.976552151,275473.73136505287,137844.6052016206,1335949.8427910244,28441555.43218178
143,175440107.61335042,439896.99752365117,275366.07611006324,137790.73544207352,1334558.9957712544,28511868.58180236
144,175371545.61929512,439725.085715878,275258.4629456179,137736.88674855256,1333214.4163464357,28582108.528948218
145,175303010.4192671,439553.2411007926,275150.89185231936,137683.05911068077,1331913.6799130049,28652277.708755925
146,175234502.00279525,439381.46365064336,275043.3628112384,137629.25251842022,1330654.489472924,28722378.428751346
147,175166020.35941255,439209.75333792274,274935.8758038418,137575.4669620197,1329434.6689177698,28792412.87556571
148,175097565.47865608,439038.11013533076,274828.4308119318,137521.7024319703,1328252.1566662653,28862383.121298227
149,175029137.35006702,438866.5340157441,274721.02781759424,137467.9589189681,1327104.9996366575,28932291.12954382
150,174960735.96319062,438695.0249521903,274613.6668031557,137414.2364138826,1325991.3475363175,29002138.76110364
151,174892361.3075762,438523.58291782544,274506.3477511465,137360.53490773024,1324909.4474518737,29071927.779395025
152,174824013.3727772,438352.207885916,274399.07064427005,137306.85439165175,1323857.6387240612,29141659.8555767
153,174755692.1483511,438180.89982982294,274291.8354653769,137253.1948568934,1322834.348092305,29211336.573404282
154,174687397.62385952,438009.65872298874,274184.64219744253,137199.55629479093,1321838.085094841,29280959.433830194
155,174619129.78886813,437838.48453892604,274077.49082354887,137145.9386967561,1320867.437710929,29350529.859361503
156,174550888.63294664,437667.3772512085,273970.38132686884,137092.34205426526,1319921.068232416,29420049.198188394
157,174482674.1456689,437496.3368334627,273863.31369065295,137038.76635884983,1318997.7093525794,29489518.728095364
158,174414486.31661278,437325.3632593616,273756.28789821826,136985.21160208815,1318096.160460816,29558939.66016655
159,174346325.13536024,437154.4565026186,273649.30393293896,136931.67777559865,1317215.2841323435,29628313.14229607
160,174278190.59149733,436983.61653698323,273542.3617782384,136878.16487103407,1316354.0028026511,29697640.26251356
161,174210082.67461416,436812.8433362368,273435.4614175824,136824.67288007663,1315511.295616976,29766922.052134752
162,174142001.37430492,436642.136874189,273328.60283447383,136771.20179443393,1314686.1954455946,29836159.488746174
163,174073946.68016785,436471.4971246753,273221.78601244744,136717.75160583542,1313877.7860562014,29905353.499032784
164,174005918.58180526,436300.92406155437,273115.0109350661,136664.32230602956,1313085.1994351086,29974504.961456794
165,173937917.0688235,436130.41765870596,273008.27758591744,136610.91388678132,1312307.6132494335,30043614.708795484
166,173869942.130833,435959.9778900294,272901.5859486109,136557.52633987,1311544.248442854,30112683.530545454
167,173801993.75744826,435789.6047294418,272794.93600677524,136504.15965708773,1310794.366957902,30181712.175200343
168,173734071.93828785,435619.2981508773,272688.3277440567,136450.81383023766,1310057.269578135,30250701.352408655
169,173666176.66297436,435449.05812828563,272581.7611441171,136397.488851133,1309332.2938838785,30319651.73501803
170,173598307.92113447,435278.8846356314,272475.23619063245,136344.18471159576,1308618.8123155567,30388563.961011916
171,173530465.7023989,435108.77764689334,272368.75286729174,136290.901403456,1307916.230338957,30457438.635344315
172,173462649.9964024,434938.73713606375,272262.3111577959,136237.63891855092,1307223.9847070556,30526276.331677943
173,173394860.79278383,434768.7630771479,272155.9110458569,136184.39724872442,1306541.5418133282,30595077.594030946
174,173327098.081186,434598.85544416343,272049.552515197,136131.17638582643,1305868.3961317257,30663842.938336913
175,173259361.85125586,434429.0142111404,271943.2355495483,136077.9763217125,1305204.0687387586,30732572.85392279
176,173191652.0926444,434259.2393521205,271836.9601326519,136024.79704824332,1304548.1059133643,30801267.804909043
177,173123968.79500657,434089.5308411571,271730.72624825774,135971.63855728463,1303900.0778104668,30869928.23153606
178,173056311.94800147,433919.88865231484,271624.5338801241,135918.50084070675,1303259.5772043476,30938554.551420823
179,172988681.5412922,433750.3127596696,271518.38301201724,135865.3838903844,1302626.2182981563,31007147.160747368
180,172921077.56454584,433580.8031373082,271412.2736277113,135812.2876981965,1301999.6355960772,31075706.43539464
181,172853500.00743362,433411.3597593283,271306.20571098785,135759.21225602608,1301379.4828348556,31144232.73200496
182,172785948.8596307,433241.9825998383,271200.1792456359,135706.15755576,1300765.4319715605,31212726.388996266
183,172718424.11081636,433072.67163295724,271094.19421545166,135653.12358928897,1300157.1722246215,31281187.727521084
184,172650925.75067386,432903.4268328147,270988.2506042383,135600.1103485074,1299554.4091653386,31349617.05237501
185,172583453.7688905,432734.24817355076,270882.34839580604,135547.1178253133,1298956.863857206,31418014.652857397
186,172516008.15515763,432565.13562931586,270776.48757397186,135494.14601160816,1298364.272040536,31486380.803586725
187,172448588.89917058,432396.08917427086,270670.6681225595,135441.19489929703,1297776.3833599961,31554715.765273068
188,172381195.99062878,432227.10878258693,270564.89002539945,135388.26448028837,1297192.9606328027,31623019.78544991
189,172313829.41923565,432058.1944284454,270459.1532663288,135335.35474649403,1296613.7791554308,31691293.099167425
190,172246489.17469862,431889.3460860381,270353.4578291912,135282.4656898292,1296038.626046813,31759535.92964929
191,172179175.24672914,431720.5637295669,270247.8036978368,135229.59730221238,1295467.299626106,31827748.48891491
192,172111887.6250427,431551.8473332438,270142.1908561224,135176.7495755654,1294899.6088232065,31895930.978368916
193,172044626.29935884,431383.19687129115,270036.61928791116,135123.9225018133,1294335.372620294,31964083.58935961
194,171977391.25940105,431214.6123179414,269931.0889770726,135071.11607288444,1293774.4195227642,32032206.50370805
195,171910182.4948969,431046.093647437,269825.5999074828,135018.33028071036,1293216.5870580082,32100299.894209247
196,171842999.99557787,430877.6408340307,269720.1520630241,134965.56511722587,1292661.7213005736,32168363.925107036
197,171775843.7511796,430709.2538519852,269614.7454275854,134912.82057436896,1292109.6764223143,32236398.752543908
198,171708713.75144166,430540.9326755735,269509.3799850617,134860.09664408083,1291560.314266219,32304404.524987187
199,171641609.9861076,430372.6772790785,269404.05571935466,134807.39331830584,1291013.503942669,32372381.38363278
200,171574532.444925,430204.48763679335,269298.772614372,134754.71058899158,1290469.1214469445,32440329.462787658
201,171507481.11764553,430036.3637230211,269193.53065402794,134702.0484480888,1289927.0492968643,32508248.890232235
202,171440455.99402475,429868.30551207496,269088.329822243,134649.4068875514,1289387.1761894948,32576139.787563648
203,171373457.0638223,429700.31297827815,268983.17010294396,134596.78589933645,1288849.3966759287,32644002.27052099
204,171306484.31680176,429532.38609596394,268878.05148006394,134544.1854754042,1288313.6108531796,32711836.449293405
205,171239537.74273074,429364.5248394757,268772.9739375423,134491.60560771808,1287779.7240722934,32779642.428811993
206,171172617.33138087,429196.7291831668,268667.9374593248,134439.0462882446,1287247.6466618213,32847420.309026323
207,171105723.07252777,429028.9991014006,268562.9420293634,134386.5075089535,1286717.2936658477,32915170.18516642
208,171038854.95595104,428861.33456855064,268457.9876316164,134333.9892618176,1286188.5845958062,32982892.14799094
209,170972012.97143424,428693.7355590003,268353.0742500484,134281.4915388129,1285661.4431953568,33050586.284022298
210,170905197.108765,428526.202047143,268248.2018686301,134229.01433191856,1285135.7972176392,33118252.675769422
211,170838407.3577349,428358.7340073823,268143.3704713386,134176.55763311678,1284611.578214249,33185891.40193877
212,170771643.70813948,428191.3314141316,268038.58004215744,134124.12143439305,1284088.7213353207,33253502.537634257
213,170704906.14977834,428023.9942418145,267933.83056507615,134071.70572773588,1283567.165140132,33321086.15454664
214,170638194.672455,427856.7224648643,267829.1220240906,134019.31050513696,1283046.8514176772,33388642.321132965
215,170571509.26597703,427689.5160577247,267724.454403203,133966.93575859113,1282527.7250166838,33456171.102786526
216,170504849.92015588,427522.3749948491,267619.8276864217,133914.58148009633,1282009.733684575,33523672.56199793
217,170438216.6248071,427355.29925070086,267515.2418577614,133862.2476616536,1281492.8279149085,33591146.75850765
218,170371609.3697501,427188.28879975347,267410.69690124306,133809.93429526716,1280976.9608028454,33658593.749450535
219,170305028.1448084,427021.3436164903,267306.1928008938,133757.64137294434,1280462.087908224,33726013.58949279
220,170238472.9398094,426854.46367540484,267201.72954074695,133705.36888669562,1279948.1671258423,33793406.330961645
221,170171943.74458453,426687.64895100036,267097.3071048422,133653.11682853455,1279435.1585625669,33860772.023968264
222,170105440.54896915,426520.8994177902,266992.92547722545,133600.88519047783,1278923.0244209096,33928110.71652419
223,170038963.3428026,426354.2150502976,266888.5846419488,133548.67396454528,1278411.7288887321,33995422.45465161
224,169972512.11592823,426187.5958230559,266784.2845830706,133496.48314275983,1277901.2380347557,34062707.28248786
225,169906086.85819334,426021.0417106082,266680.02528465545,133444.31271714758,1277391.5197095694,34129965.24238443
226,169839687.55944917,425854.5526875076,266575.8067307741,133392.16267973767,1276882.54345185,34197196.37500072
