time, Susceptible, Exposed, Infected, Hospitalized, Isolation_treated, Recovered
0,185525630.1,14429771.23,4122791.78,1442977.123,618418.767,0
1,184971372.3,12729377.3,5346745.59,1752186.507,1307358.972,32548.35616
2,184418770.3,11293014.07,5999024.395,2212779.651,2114643.859,101356.7231
3,183867819.2,10079431.7,6263801.744,2606145.924,3109736.639,212653.7683
4,183318514.1,9053825.603,6272762.51,2869023.398,4249139.251,376324.1177
5,182770850.1,8186829.414,6119232.133,3002702.327,5460012.042,599963.0257
6,182224822.1,7453665.232,5868616.196,3031159.197,6673994.151,887332.0806
7,181680425.5,6833426.696,5566097.339,2982733.647,7838310.899,1238594.931
8,181137655.2,6308474.046,5242295.926,2882891.159,8917135.044,1651137.609
9,180596506.5,5863923.721,4917421.014,2752019.561,9889257.726,2120460.507
10,180056974.4,5487217.703,4604303.842,2605365.034,10744780.26,2640947.755
11,179519054.2,5167760.148,4310605.648,2453758.477,11481948.02,3206462.506
12,178982741,4896610.799,4040416.759,2304530.651,12104514.21,3810775.56
13,178448030.1,4666226.301,3795408.006,2162369.515,12619699.84,4447855.255
14,177914916.6,4470241.931,3575653.864,2030036.759,13036689.87,5112049.983
15,177383395.8,4303287.443,3380215.7,1908931.846,13365566.68,5798191.555
16,176853462.9,4160831.675,3207550.438,1799519.848,13616581.72,6501642.433
17,176325113.2,4039051.446,3055792.778,1701647.533,13799679.45,7218304.629
18,175798341.9,3934720.933,2922946.372,1614771.961,13924204.3,7944603.547
19,175273144.3,3845118.334,2807009.924,1538122.573,13998737.42,8677456.405
20,174749515.8,3767947.113,2706057.183,1470813.768,14031023.05,9414232.059
21,174227451.6,3701269.555,2618284.624,1411921.18,14027955.04,10152706.96
22,173706947.1,3643450.699,2542036.836,1360531.746,13995602.21,10891020.38
23,173187997.6,3593111.032,2475816.798,1315775.082,13939257.44,11627631.02
24,172670598.5,3549086.576,2418286.197,1276841.74,13863499.85,12361276.15
25,172154745.1,3510395.211,2368259.426,1242992.42,13772262.83,13090934.04
26,171640432.8,3476208.26,2324693.821,1213561.066,13668903.1,13815789.98
27,171127657,3445826.513,2286677.906,1187953.988,13556267.68,14535205.93
28,170616413.1,3418659.995,2253418.822,1165646.471,13436756.91,15248693.7
29,170106696.6,3394210.905,2224229.741,1146177.941,13312382.41,15955891.43
30,169598502.8,3372059.207,2198517.76,1129146.406,13184819.67,16656543.14
31,169091827.3,3351850.483,2175772.571,1114202.643,13055455,17350481.02
32,168586665.5,3333285.679,2155556.066,1101044.464,12925427.11,18037610.23
33,168083012.8,3316112.455,2137492.937,1089411.249,12795663.7,18717895.86
34,167580864.8,3300117.885,2121262.274,1079078.859,12666913.34,19391351.85
35,167080217,3285122.299,2106590.125,1069854.998,12539773.12,20058031.5
36,166581064.8,3270974.088,2093242.953,1061575.03,12414712.56,20718019.56
37,166083403.9,3257545.318,2081021.916,1054098.253,12292094.15,21371425.48
38,165587229.7,3244728.031,2069757.893,1047304.606,12172190.96,22018377.81
39,165092537.9,3232431.125,2059307.174,1041091.776,12055201.63,22659019.43
40,164599323.9,3220577.718,2049547.744,1035372.682,11941263.22,23293503.73
41,164107583.4,3209102.93,2040376.076,1030073.277,11830462.03,23921991.27
42,163617312,3197952.003,2031704.39,1025130.658,11722842.77,24544647.17
43,163128505.3,3187078.722,2023458.293,1020491.426,11618416.37,25161638.89
44,162641158.9,3176444.081,2015574.77,1016110.286,11517166.49,25773134.49
45,162155268.4,3166015.156,2008000.465,1011948.836,11419054.97,26379301.15
46,161670829.6,3155764.152,2000690.217,1007974.534,11324026.5,26980304.04
47,161187838,3145667.607,1993605.812,1004159.821,11232012.37,27576305.43
48,160706289.3,3135705.709,1986714.922,1000481.364,11142933.73,28167463.98
49,160226179.3,3125861.731,1979990.209,996919.4123,11056704.22,28753934.18
50,159747503.5,3116121.546,1973408.552,993457.2583,10973232.12,29335865.98
51,159270257.9,3106473.221,1966950.406,990080.7672,10892422.22,29913404.51
52,158794438,3096906.676,1960599.245,986777.985,10814177.22,30486689.89
53,158320039.6,3087413.391,1954341.102,983538.8037,10738398.99,31055857.11
54,157847058.5,3077986.167,1948164.169,980354.6773,10664989.5,31621036.01
55,157375490.4,3068618.916,1942058.465,977218.3809,10593851.6,32182351.24
56,156905331.1,3059306.488,1936015.555,974123.8068,10524889.66,32739922.38
57,156436576.4,3050044.526,1930028.305,971065.792,10458010,33293863.94
58,155969222.2,3040829.341,1924090.686,968039.9722,10393121.32,33844285.52
59,155503264.1,3031657.807,1918197.599,965042.6575,10330134.92,34391291.91
60,155038698.1,3022527.277,1912344.731,962070.7284,10268964.93,34934983.22
61,154575520,3013435.5,1906528.436,959121.5471,10209528.46,35475455.06
62,154113725.6,3004380.569,1900745.624,956192.8824,10151745.63,36012798.66
63,153653310.9,2995360.861,1894993.682,953282.8471,10095539.67,36547101.06
64,153194271.6,2986374.992,1889270.396,950389.844,10040836.9,37078445.25
65,152736603.7,2977421.786,1883573.889,947512.5209,9987566.723,37606910.35
66,152280303.1,2968500.236,1877902.571,944649.7328,9935661.577,38132571.76
67,151825365.7,2959609.48,1872255.09,941800.5092,9885056.886,38655501.32
68,151371787.4,2950748.778,1866630.299,938964.0271,9835690.989,39175767.47
69,150919564.2,2941917.497,1861027.221,936139.5883,9787505.056,39693435.42
70,150468692,2933115.086,1855445.024,933326.5993,9740443.005,40208567.26
71,150019166.8,2924341.071,1849883.001,930524.5558,9694451.41,40721222.16
72,149570984.5,2915595.04,1844340.543,927733.028,9649479.403,41231456.44
73,149124141.2,2906876.631,1838817.132,924951.6497,9605478.58,41739323.78
74,148678632.9,2898185.529,1833312.323,922180.1079,9562402.9,42244875.28
75,148234455.4,2889521.456,1827825.731,919418.1346,9520208.591,42748159.64
76,147791605,2880884.164,1822357.026,916665.5,9478854.048,43249223.25
77,147350077.6,2872273.434,1816905.92,913922.0065,9438299.743,43748110.31
78,146909869.2,2863689.066,1811472.164,911187.4832,9398508.128,44244862.93
79,146470976,2855130.884,1806055.54,908461.7826,9359443.548,44739521.25
80,146033394,2846598.724,1800655.855,905744.7762,9321072.147,45232123.54
81,145597119.2,2838092.438,1795272.942,903036.3519,9283361.79,45722706.29
82,145162147.8,2829611.888,1789906.65,900336.4115,9246281.977,46211304.28
83,144728475.9,2821156.947,1784556.845,897644.8683,9209803.763,46697950.7
84,144296099.6,2812727.496,1779223.407,894961.6454,9173899.684,47182677.21
85,143865015,2804323.422,1773906.226,892286.6744,9138543.681,47665514.04
86,143435218.2,2795944.62,1768605.204,889619.8938,9103711.035,48146490.02
87,143006705.5,2787590.987,1763320.25,886961.248,9069378.296,48625632.7
88,142579473,2779262.428,1758051.279,884310.6865,9035523.22,49102968.4
